non_Coronavirus,Coronavirus,month
57179.0,51.0,Jan 2019
49915.0,45.0,Feb 2019
55184.0,49.0,Mar 2019
53481.0,47.0,Apr 2019
55125.0,47.0,May 2019
52828.0,50.0,Jun 2019
59012.0,53.0,Jul 2019
52789.0,63.0,Aug 2019
55923.0,55.0,Sep 2019
56845.0,59.0,Oct 2019
52878.0,62.0,Nov 2019
54174.0,63.0,Dec 2019
57673.0,201.0,Jan 2020
58778.0,905.0,Feb 2020
65454.0,3655.0,Mar 2020
68379.0,8961.0,Apr 2020
68198.0,9395.0,May 2020
66403.0,7661.0,Jun 2020
65818.0,6456.0,Jul 2020
60839.0,5524.0,Aug 2020
59126.0,4774.0,Sep 2020
58761.0,4642.0,Oct 2020
59037.0,4668.0,Nov 2020
57573.0,4660.0,Dec 2020
59991.0,4935.0,Jan 2021
55773.0,4659.0,Feb 2021
63447.0,5286.0,Mar 2021
55717.0,4605.0,Apr 2021
56231.0,4725.0,May 2021
53380.0,4538.0,Jun 2021
51074.0,4219.0,Jul 2021
49135.0,3828.0,Aug 2021
43531.0,3355.0,Sep 2021
38366.0,2942.0,Oct 2021
32574.0,2453.0,Nov 2021
24086.0,1916.0,Dec 2021
14801.0,1294.0,Jan 2022
5450.0,508.0,Feb 2022
550.0,72.0,Mar 2022
