Tau,LCI,UCI,month
0.20746054519368723,0.1435355864297016,0.2713855039576773,Jan 2019
0.20966044954567192,0.14454618824687498,0.2747747108444611,Feb 2019
0.23582018173122907,0.1703536168585077,0.3012867466039498,Mar 2019
0.15088474414155906,0.09328301676668786,0.20848647151642702,Apr 2019
0.24830224772835963,0.18053505261967684,0.3160694428370363,May 2019
0.20019129603060737,0.13645639271405074,0.26392619934716466,Jun 2019
0.2601626016260163,0.19413199366330408,0.32619320958873105,Jul 2019
0.1662362505978001,0.10619361074354275,0.22627889045205593,Aug 2019
0.20095648015303683,0.13828905045911108,0.2636239098469615,Sep 2019
0.24351984696317552,0.17627993190744384,0.3107597620189071,Oct 2019
0.260832137733142,0.18908322307127395,0.3325810523949902,Nov 2019
0.23854615016738404,0.16997587886929122,0.30711642146548507,Dec 2019
0.38474414155906267,0.31372599928719364,0.4557622838309388,Jan 2020
0.509325681492109,0.44374518861219336,0.5749061743720186,Feb 2020
0.6814921090387375,0.6273796182667912,0.7356045998107092,Mar 2020
0.7796747967479675,0.7399103886977864,0.8194392047981668,Apr 2020
0.7661884265901483,0.7230179343559987,0.8093589188243505,May 2020
0.7848876135820182,0.745609994641382,0.8241652325226597,Jun 2020
0.7309421329507413,0.6832576609977028,0.7786266049037787,Jul 2020
0.7319942611190817,0.6843995651652834,0.7795889570728318,Aug 2020
0.7371592539454807,0.689135674567333,0.7851828333236403,Sep 2020
0.7523672883787661,0.7055993912636381,0.7991351854938665,Oct 2020
0.7381157340985175,0.6904116641176772,0.7858198040793574,Nov 2020
0.7429937828790053,0.6995538732384176,0.7864336925195942,Dec 2020
0.7614060258249641,0.7193020894709361,0.8035099621789432,Jan 2021
0.7326159732185558,0.6835169223578224,0.7817150240792927,Feb 2021
0.738546150167384,0.6881640435882476,0.78892825674653,Mar 2021
0.7466284074605452,0.6961317277171226,0.7971250872039795,Apr 2021
0.7458632233381157,0.6991848467636135,0.7925415999126249,May 2021
0.7564323290291727,0.7098071806525746,0.8030574774057541,Jun 2021
0.7736967957914873,0.7327365943664695,0.8146569972164811,Jul 2021
0.7801530368244859,0.7391245436927923,0.8211815299561894,Aug 2021
0.74701099952176,0.6971344898629189,0.7968875091806286,Sep 2021
0.7315638450502152,0.6766841169235136,0.7864435731769084,Oct 2021
0.7128646580583453,0.6576158285349587,0.7681134875817619,Nov 2021
0.7152558584409373,0.6597651252142761,0.7707465916675925,Dec 2021
0.7425633668101387,0.691483539898484,0.7936431937217805,Jan 2022
0.6993304638928742,0.6329444599527277,0.7657164678330574,Feb 2022
0.6519368723098996,0.5752600243146782,0.7286137203051333,Mar 2022
